gene_name	mean_met
AACS	0
AASS	0
ABAT	0
ABCA7	0
ABCC1	0
ABCD3	0.00333333333333333
ABHD17A	0
ABHD6	0
ABI2	0
ABR	0
AC005013.1	0.43
AC006160.5	0
AC007255.8	0.27
AC007405.2	0.02
AC008592.3	0.01
AC009014.3	0.0433333333333333
AC010504.2	0
AC010980.2	0
AC012322.1	0.98
AC012467.1	0
AC016910.1	0.02
AC017099.3	0
AC018737.1	0
AC020910.2	0
AC026202.3	0
AC068580.1	0
AC079776.2	0.375
AC079922.3	0
AC092835.2	0
AC092933.4	0
AC093673.5	0
AC093901.1	0.02
AC102953.6	0.34
AC108868.1	0.26
AC114730.2	0.02
AC116050.1	0.62
AC116614.1	0.08
AC125232.1	0.005
AC136932.1	0.85
ACAP2	0
ACBD5	0
ACD	0
ACER2	0
ACSF2	0.02
ACTN1	0.02
ACTR5	0.0175
ACVR1B	0.00666666666666667
ACVR2B	0.01
ADAM11	0
ADAM23	0
ADAM30	0.94
ADAMTS15	0
ADAMTSL4-AS1	0
ADAMTSL5	0.3
ADCK1	0
ADCY7	0
ADCY9	0.0133333333333333
ADPRHL2	0
ADRA2A	0.01
ADRBK1	0.005
ADRBK2	0
ADSSL1	0
AFG3L1P	0
AGL	0
AGO4	0
AHSA2	0
AIF1L	0.03
AIG1	0
AJAP1	0.28
AK2	0.01
AK9	0
AKAP8	0
AKIRIN2	0
AKR7A2	0
AL391005.1	0.58
AL672294.1	0.04
ALAD	0
ALAS1	0
ALCAM	0
ALDH18A1	0
ALG8	0
ALPL	0.01
ALS2CL	0.005
AMZ2P1	0
ANKFY1	0.00333333333333333
ANKRD17	0
ANKRD18A	0.17
ANKRD39	0.01
ANXA11	0.01
AP000320.6	0
AP000442.4	0.015
AP001058.3	0.02
AP003774.4	0
AP1S1	0
AP5S1	0
APBB1	0
APC2	0.04
APPBP2	0
APPL1	0.04
APRT	0.02
AQP5	0.17
ARAP2	0
ARF1	0.005
ARG2	0
ARHGAP22	0
ARHGAP28	0.07
ARHGDIA	0
ARHGEF10	0.0133333333333333
ARHGEF4	0
ARID1A	0
ARID1B	0.0166666666666667
ARID2	0
ARIH1	0.0125
ARL15	0.025
ARL4A	0.0133333333333333
ARL4C	0
ARL5B-AS1	0.01
ARL6	0
ARL6IP1	0
ARL8A	0
ARMC2	0.005
ARMC4P1	0.00333333333333333
ARNT2	0.03
ARPC1A	0.015
ARPC2	0.02
ARSA	0
ASB1	0
ASB13	0.03
ASCC3	0
ASNA1	0.11
ASPHD1	0.015
ASPHD2	0
ASPM	0.01
ASXL2	0
ATAD3A	0
ATAD3B	0.0825
ATF4	0.01
ATF7	0
ATG16L2	0
ATHL1	0
ATP13A1	0
ATP1A1OS	0
ATP2A3	0
ATP6V0A2	0
ATP6V0D1	0
ATP6V1C1	0
ATP8A2	0.27
ATXN1L	0
ATXN7L3	0
AUNIP	0.0166666666666667
AURKAIP1	0.02
B3GNTL1	0.005
B4GALNT4	0.02
B4GALT7	0
BAMBI	0.1
BARX2	0.26
BBS10	0
BCAS2	0
BCAT2	0
BCDIN3D	0
BCL2L11	0
BCLAF1	0
BEAN1	0
BET1L	0
BHLHE23	0.12
BIRC5	0.28
BLM	0
BMP6	0.49
BMP8A	0
BMPER	0
BMS1	0
BRAP	0
BRD3	0
BRIP1	0
BRK1	0.05
BSN	0
BSPRY	0
BTBD8	0.02
BTF3	0
BTG3	0
BX322557.10	0
C10orf118	0.00333333333333333
C10orf35	0.04
C11orf73	0
C12orf23	0
C12orf42	0.05
C12orf49	0
C12orf5	0
C12orf61	0
C14orf166	0.02
C14orf93	0
C15orf38	0.07
C15orf48	0.01
C15orf57	0
C16orf74	0.0125
C17orf102	0.17
C17orf72	0.03
C17orf96	0.005
C18orf8	0
C19orf12	0
C19orf48	0.02
C1orf106	0.02
C1orf172	0
C1orf65	0.58
C1orf95	0
C1QL4	0.01
C1QTNF6	0.015
C20orf112	0
C20orf27	0
C20orf85	0.125
C21orf91	0
C2CD2	0
C2orf27B	0.0666666666666667
C2orf43	0
C2orf49	0
C2orf70	0.17
C2orf76	0.01
C2orf81	0
C3orf52	0.00333333333333333
C3orf56	0.96
C4orf19	0.105
C6orf132	0
C6orf195	0
C6orf62	0
C7orf10	0
C7orf50	0
C7orf63	0.2
C7orf73	0.01
C8orf37	0
C8orf82	0
C9orf106	0.14
C9orf156	0
C9orf170	0.06
C9orf40	0
C9orf85	0.01
CA2	0.02
CAB39	0
CABP1	0
CACHD1	0.005
CACNB2	0.00333333333333333
CACNB4	0.00666666666666667
CACTIN	0.03
CACUL1	0
CAD	0
CADPS2	0.085
CALB2	0.2
CALU	0.01
CAMSAP1	0
CAMTA1	0.01
CANX	0.0166666666666667
CAP1	0
CAPN10-AS1	0
CAPN15	0.02
CAPRIN1	0.015
CAPRIN2	0
CARD10	0
CARHSP1	0
CARM1	0
CASC3	0.15
CASKIN2	0.01
CASP6	0.015
CASP8AP2	0.01
CBFA2T2	0.01
CBFB	0.00333333333333333
CBLN4	0.06
CBR3-AS1	0
CBX6	0
CBX7	0
CC2D1B	0
CCAR2	0
CCDC138	0
CCDC15	0.00666666666666667
CCDC169-SOHLH2	0.05
CCDC170	0.015
CCDC19	0.31
CCDC40	0.0133333333333333
CCDC41	0
CCDC64	0.0025
CCDC66	0.015
CCDC8	0.3
CCDC82	0
CCDC85A	0.36
CCDC88C	0
CCNB1	0
CCND1	0.01
CCNH	0
CCNI	0
CCNK	0.01
CCNT1	0
CCP110	0
CCSER2	0
CD151	0
CD58	0
CD72	0
CD8BP	0.16
CD93	0.01
CDC16	0.01
CDC20	0.02
CDC34	0.03
CDC42BPB	0.09
CDC42EP1	0.02
CDCA5	0.015
CDK11B	0
CDK20	0.22
CDK2AP2	0
CDK5R1	0.03
CDK8	0
CDKN2AIP	0
CDKN2AIPNL	0.01
CDPF1	0.13
CDS1	0.165
CEBPA-AS1	0.115
CECR6	0.11
CECR7	0.5
CELF4	0.28
CELSR1	0
CELSR2	0.015
CENPB	0
CENPBD1	0
CENPH	0.0333333333333333
CENPJ	0
CENPW	0
CEP112	0.085
CEP135	0.005
CEP152	0
CEP89	0
CERS2	0
CERS5	0.01
CGRRF1	0.005
CHCHD1	0
CHCHD2	0.015
CHCHD3	0.005
CHCHD4	0
CHD6	0.05
CHD7	0
CHD8	0
CHEK2P2	0.68
CHMP2A	0.01
CHMP2B	0
CHN1	0.00666666666666667
CHPF2	0
CHRAC1	0.005
CHRDL2	0.025
CHST14	0.01
CHST2	0
CHST8	0.12
CHSY3	0.015
CIC	0
CIDEA	0.035
CISD3	0.004
CITED2	0.01
CITF22-92A6.1	0
CKB	0.215
CKMT2-AS1	0
CKS2	0
CLDN11	0.03
CLDN23	0
CLEC16A	0
CLEC2L	0.05
CLIC4	0.005
CLINT1	0
CLK3	0.025
CLPTM1L	0.00666666666666667
CLSTN2	0.08
CLTC	0
CMKLR1	0
CMTM2	0
CMTM4	0
CMTR1	0
CNIH1	0
CNNM4	0
CNTD2	0.19
CNTN5	0.04
COA1	0.03
COA5	0
COCH	0
COG3	0
COL26A1	0.01
COL4A3	0.01
COL4A4	0.173333333333333
COL8A2	0
COMP	0.05
COMTD1	0
COPG1	0
COPS3	0
COQ10B	0.01
CORO1C	0
CORO6	0.08
CORO7	0.02
COX10-AS1	0.02
COX14	0
