chrBase	chr	base	strand	coverage	freqC	freqT
1.3020877	1	3020877	F	104	92.31	7.69
1.3020891	1	3020891	F	103	80.58	19.42
1.3020815	1	3020815	R	60	85.00	15.00
1.3020843	1	3020843	R	61	77.05	22.95
1.3020946	1	3020946	R	112	65.18	34.82
1.3020972	1	3020972	R	74	64.86	35.14
1.3020988	1	3020988	R	77	92.21	7.79
1.3021013	1	3021013	R	78	98.72	1.28
1.3037802	1	3037802	F	58	91.38	8.62
1.3037820	1	3037820	F	58	65.52	34.48
1.3037825	1	3037825	F	58	93.10	6.90
1.3037827	1	3037827	F	58	72.41	27.59
1.3037845	1	3037845	F	58	86.21	13.79
1.3045312	1	3045312	F	34	85.29	14.71
1.3045345	1	3045345	F	31	96.77	3.23
1.3093908	1	3093908	F	86	91.86	8.14
1.3094117	1	3094117	R	87	81.61	18.39
1.3094122	1	3094122	R	87	100.00	0.00
1.3112234	1	3112234	F	104	67.31	32.69
1.3112266	1	3112266	F	103	59.22	40.78
1.3112355	1	3112355	R	94	94.68	5.32
1.3112372	1	3112372	R	93	87.10	12.90
1.3112403	1	3112403	R	93	75.27	24.73
1.3121587	1	3121587	F	144	65.97	34.03
1.3121640	1	3121640	R	201	63.18	36.82
1.3145142	1	3145142	R	21	100.00	0.00
1.3147799	1	3147799	F	114	98.25	1.75
1.3147811	1	3147811	F	107	94.39	5.61
1.3147838	1	3147838	F	113	93.81	6.19
1.3147812	1	3147812	R	86	94.19	5.81
1.3147839	1	3147839	R	88	81.82	18.18
1.3147842	1	3147842	R	89	93.26	6.74
1.3183519	1	3183519	R	10	50.00	50.00
1.3301900	1	3301900	R	161	85.09	14.91
1.3301941	1	3301941	R	166	68.07	31.93
1.3337055	1	3337055	F	33	60.61	39.39
1.3337153	1	3337153	R	149	95.30	4.70
1.3472124	1	3472124	F	108	0.93	99.07
1.3531651	1	3531651	F	48	93.75	6.25
1.3531658	1	3531658	F	47	93.62	6.38
1.3531671	1	3531671	F	47	89.36	10.64
1.3531676	1	3531676	F	47	97.87	2.13
1.3531680	1	3531680	F	45	86.67	13.33
1.3531686	1	3531686	F	45	77.78	22.22
1.3531690	1	3531690	F	46	73.91	26.09
1.3531692	1	3531692	F	46	54.35	45.65
1.3531694	1	3531694	F	45	86.67	13.33
1.3531784	1	3531784	F	16	93.75	6.25
1.3531787	1	3531787	F	16	87.50	12.50
1.3531802	1	3531802	F	16	100.00	0.00
1.3531813	1	3531813	F	24	95.83	4.17
1.3531831	1	3531831	F	23	91.30	8.70
1.3531836	1	3531836	F	23	78.26	21.74
1.3531839	1	3531839	F	23	86.96	13.04
1.3531735	1	3531735	R	74	60.81	39.19
1.3531737	1	3531737	R	75	69.33	30.67
1.3531761	1	3531761	R	76	64.47	35.53
1.3531765	1	3531765	R	75	80.00	20.00
1.3531771	1	3531771	R	75	68.00	32.00
1.3531779	1	3531779	R	75	90.67	9.33
1.3531785	1	3531785	R	76	94.74	5.26
1.3531788	1	3531788	R	19	89.47	10.53
1.3531803	1	3531803	R	19	94.74	5.26
