length	gc
ENSG00000000003	4536	0.399250440917108
ENSG00000000005	1476	0.424119241192412
ENSG00000000419	9276	0.42529107373868
ENSG00000000457	6883	0.41173906726718
ENSG00000000460	5970	0.429815745393635
ENSG00000000938	3382	0.564458900059137
ENSG00000000971	15284	0.36940591468202
ENSG00000001036	2822	0.430900070871722
ENSG00000001084	8618	0.393362729171502
ENSG00000001167	6209	0.463198582702529
ENSG00000001461	9396	0.469029374201788
ENSG00000001497	12555	0.419832735961768
ENSG00000001561	4644	0.344315245478036
ENSG00000001617	4826	0.628056361375881
ENSG00000001626	16821	0.385054396290351
ENSG00000001629	7389	0.420625253755583
ENSG00000001630	4171	0.418364900503476
ENSG00000001631	21110	0.366650876361914
ENSG00000002016	4503	0.438374417055296
ENSG00000002079	6307	0.535436816235928
ENSG00000002330	1708	0.599531615925059
ENSG00000002549	3779	0.448531357501985
ENSG00000002586	4858	0.499382461918485
ENSG00000002587	7435	0.485137861466039
ENSG00000002745	3264	0.418811274509804
ENSG00000002746	13935	0.477646214567635
ENSG00000002822	6955	0.556146657081237
ENSG00000002834	7061	0.573573148279281
ENSG00000002919	4133	0.505685942414711
ENSG00000002933	3477	0.57578372159908
ENSG00000003056	3585	0.429567642956764
ENSG00000003096	6928	0.43013856812933
ENSG00000003137	4839	0.600537301095268
ENSG00000003147	4883	0.460167929551505
ENSG00000003249	4462	0.594800537875392
ENSG00000003393	33513	0.387461582072629
ENSG00000003400	8920	0.451457399103139
ENSG00000003402	22478	0.45987187472195
ENSG00000003436	11714	0.416851630527574
ENSG00000003756	10357	0.439509510476007
ENSG00000003987	6928	0.437788683602771
ENSG00000003989	7905	0.416192283364959
ENSG00000004059	1825	0.593972602739726
ENSG00000004139	11105	0.554975236380009
ENSG00000004142	2670	0.521348314606742
ENSG00000004399	9557	0.596840012556242
ENSG00000004455	17967	0.486113430177548
ENSG00000004468	6857	0.425550532302756
ENSG00000004478	5163	0.52527600232423
ENSG00000004487	18325	0.417953615279673
ENSG00000004534	7299	0.469790382244143
ENSG00000004660	7433	0.576483250369972
ENSG00000004700	3779	0.411219899444297
ENSG00000004776	1724	0.627030162412993
ENSG00000004777	5260	0.646768060836502
ENSG00000004779	1548	0.5
ENSG00000004799	4544	0.373679577464789
ENSG00000004809	3907	0.444842590222677
ENSG00000004838	2889	0.578054690204223
